scale,spec,outcome,panel,outcome_label,coef_temp,se_temp,t_stat,p_value,N,N_country,depmean,r2
national,FE,poor215,poverty,US$2.15/day,.7369640099389281,.45838338,1.607746,.11037414,504,128,6.7168865,.96623123
national,FE,poor365,poverty,US$3.65/day,.5209518221286373,.46791649,1.1133436,.26766366,504,128,14.737115,.98918217
national,FE,poor685,poverty,US$6.85/day,-.0575701662494145,.4968276,-.11587553,.90793419,504,128,28.225977,.99460399
national,FE,gini,inequality,Gini,.3371590491495345,.35815161,.9413864,.34838253,459,122,33.880928,.96596164
national,FE,theil,inequality,Theil,.6531746175727449,.66191775,.98679119,.32571414,459,122,22.555866,.95620352
national,LD,poor215,poverty,US$2.15/day,1.107249143087764,1.1113837,.99627978,.32144901,104,104,-3.2447157,.10085388
national,LD,poor365,poverty,US$3.65/day,.0480426598554978,.95562851,.050273366,.96000189,104,104,-3.8821008,.23161714
national,LD,poor685,poverty,US$6.85/day,-1.051478256230119,.80335861,-1.3088529,.1934969,104,104,-3.2473032,.23235594
national,LD,gini,inequality,Gini,1.312486542043714,.78746033,1.6667336,.09879332,98,98,-.77791804,.086164013
national,LD,theil,inequality,Theil,2.26735487835693,1.4130094,1.6046282,.11182672,98,98,-1.2239257,.12207522
