变量,样本量,均值,标准差,25分位,中位数,75分位,最小值,最大值
极端贫困率,6719,8.217,16.681,0.129,1.13,6.604,0.0,98.456
基尼系数,5736,35.4,7.979,29.594,34.17,40.507,13.371,66.448
年均温度,6291,16.335,7.115,10.945,17.788,22.216,-7.923,31.241
年降雨量,6291,4.335,12.602,0.266,1.087,3.411,0.0,193.662
湿度,6291,70.078,15.955,64.433,73.522,81.829,11.278,92.183
农业依赖度,6652,9.08,8.501,2.758,6.864,12.808,0.233,58.934
法治百分位,6662,49.179,26.37,29.524,43.128,68.452,0.939,100.0
人均GDP对数,6634,9.688,0.975,9.173,9.672,10.502,6.878,11.803
失业率,6608,6.896,4.927,3.618,5.139,9.23,0.398,28.984
农业占比,6649,9.277,8.131,2.815,7.705,12.808,0.2,41.447
制造业占比,6471,13.81,5.642,10.32,12.253,17.64,0.777,34.858
人口增长率,6662,1.05,1.002,0.333,0.906,1.517,-1.854,4.539
