outcome,panel,bin_index,estimate,lb,ub,bin_label
poor215,poverty,1,-.0536494688415147,-.07259991,-.03469903,<0
poor215,poverty,2,-.0324144163467904,-.049352128,-.015476703,"[0,3)"
poor215,poverty,3,-.0524965165231331,-.070371158,-.034621876,"[3,6)"
poor215,poverty,4,-.048848897814817,-.067080408,-.030617384,"[6,9)"
poor215,poverty,5,-.0378114209116127,-.054699671,-.020923171,"[9,12)"
poor215,poverty,6,-.0303757351140652,-.045655888,-.015095584,"[12,15)"
poor215,poverty,7,-.0159917225007548,-.030011348,-.0019720958,"[15,18)"
poor215,poverty,8,0,0,0,"[18,21)"
poor215,poverty,9,.0043376898219545,-.016539183,.025214562,"[21,24)"
poor215,poverty,10,-.0113393349534944,-.029311815,.0066331448,"[24,27)"
poor215,poverty,11,.0013621155215102,-.018735543,.021459773,"[27,30)"
poor215,poverty,12,-.0180424008312533,-.051545456,.015460653,"[30,33)"
poor215,poverty,13,.1033898201059125,.048834711,.15794493,33+
poor365,poverty,1,-.0903326725058279,-.11577854,-.064886801,<0
poor365,poverty,2,-.0447963272631494,-.070329197,-.019263456,"[0,3)"
poor365,poverty,3,-.0762668554010077,-.10154507,-.050988648,"[3,6)"
poor365,poverty,4,-.0722396172976118,-.095606789,-.048872445,"[6,9)"
poor365,poverty,5,-.0590128252513595,-.081833072,-.036192574,"[9,12)"
poor365,poverty,6,-.0403568483211926,-.060202211,-.020511484,"[12,15)"
poor365,poverty,7,-.0229981435763955,-.040638529,-.0053577586,"[15,18)"
poor365,poverty,8,0,0,0,"[18,21)"
poor365,poverty,9,.0092259603053705,-.013466984,.031918906,"[21,24)"
poor365,poverty,10,-.020456665528077,-.041386075,.00047274426,"[24,27)"
poor365,poverty,11,-.0145324838380272,-.037772071,.0087071015,"[27,30)"
poor365,poverty,12,-.0077764232006336,-.04006768,.024514835,"[30,33)"
poor365,poverty,13,.0484023325756145,.0032252902,.093579374,33+
poor685,poverty,1,-.0565663876894619,-.088828295,-.024304477,<0
poor685,poverty,2,.000449806837802,-.033859566,.034759182,"[0,3)"
poor685,poverty,3,-.0220272458998036,-.064003892,.019949397,"[3,6)"
poor685,poverty,4,-.0420733104009988,-.076262437,-.0078841848,"[6,9)"
poor685,poverty,5,-.0545586576638406,-.084936209,-.024181105,"[9,12)"
poor685,poverty,6,-.0378064855364431,-.064239942,-.011373032,"[12,15)"
poor685,poverty,7,-.0280121332610902,-.047984809,-.0080394568,"[15,18)"
poor685,poverty,8,0,0,0,"[18,21)"
poor685,poverty,9,-.0066711847753697,-.028821154,.015478783,"[21,24)"
poor685,poverty,10,-.0323852635741587,-.054842688,-.009927839,"[24,27)"
poor685,poverty,11,-.025961247498125,-.051160157,-.00076233706,"[27,30)"
poor685,poverty,12,-.032821280020951,-.064575031,-.0010675304,"[30,33)"
poor685,poverty,13,-.0332596748795675,-.071447678,.0049283295,33+
gini,inequality,1,-.0435603009248281,-.066735186,-.020385412,<0
gini,inequality,2,-.0407338257627462,-.064884044,-.016583603,"[0,3)"
gini,inequality,3,-.027861084317521,-.049717452,-.0060047149,"[3,6)"
gini,inequality,4,-.0277981101371974,-.047784116,-.0078121051,"[6,9)"
gini,inequality,5,-.0133720680175689,-.029758235,.0030140996,"[9,12)"
gini,inequality,6,-.0062243592594545,-.020879056,.0084303375,"[12,15)"
gini,inequality,7,.0001503304794194,-.012481921,.012782583,"[15,18)"
gini,inequality,8,0,0,0,"[18,21)"
gini,inequality,9,.0059381878432692,-.0047753048,.016651681,"[21,24)"
gini,inequality,10,.0005125442425761,-.01062073,.011645818,"[24,27)"
gini,inequality,11,.0035559764074346,-.012015227,.019127181,"[27,30)"
gini,inequality,12,.007090898104723,-.013237127,.027418923,"[30,33)"
gini,inequality,13,.0239269490543279,-.0085045248,.056358423,33+
theil,inequality,1,-.0723591760426068,-.11400446,-.030713892,<0
theil,inequality,2,-.0641824010093075,-.11021677,-.018148033,"[0,3)"
theil,inequality,3,-.0564068474728184,-.098954402,-.013859295,"[3,6)"
theil,inequality,4,-.0491223985212314,-.092747234,-.0054975636,"[6,9)"
theil,inequality,5,-.0225857080104061,-.057003461,.011832044,"[9,12)"
theil,inequality,6,-.0126352852519937,-.04704636,.021775791,"[12,15)"
theil,inequality,7,.0006154668691274,-.027089562,.028320495,"[15,18)"
theil,inequality,8,0,0,0,"[18,21)"
theil,inequality,9,.0213902968655614,-.0010485793,.043829173,"[21,24)"
theil,inequality,10,.0104331650635352,-.01394892,.034815252,"[24,27)"
theil,inequality,11,.0143685739207878,-.0197319,.048469048,"[27,30)"
theil,inequality,12,.0223874344580257,-.018952081,.063726947,"[30,33)"
theil,inequality,13,.0728128259683366,.0034087216,.14221694,33+
