code,poor215,temp,indexagri,rule_of_law_pct,z_poor,z_temp,z_agri,z_rule,risk_score,rank,label_name
SLE,36.93246057692308,23.707159,58.93440964999998,22.458082,1.120967,.9187699,4.4707637,-.85991114,7.3704119,1,SLE
TCD,32.93264582499999,28.600464,45.09623633999997,4.9798794,.92316866,1.6577044,3.1710103,-1.4850054,7.2368889,2,TCD
CAF,61.82319414285714,25.506044,31.24133151,5.7692308,2.3518605,1.1904182,1.8696851,-1.4567748,6.8687387,3,CAF
MDG,85.36647186363636,21.834644,23.97338330000001,19.248827,3.51612,.63600278,1.1870414,-.9746877,6.3138518,4,MDG
NER,43.070003875,28.430006,37.66166253,29.906136,1.4244801,1.6319636,2.4727161,-.59353739,6.1226974,5,NER
COD,70.98257518181818,23.743862,19.05648456,.93896711,2.8048091,.92431241,.7252205,-1.6295254,6.0838675,6,COD
GNB,46.17993244444445,25.119579,30.72370337,7.8402166,1.5782719,1.1320585,1.8210667,-1.3827077,5.9141049,7,GNB
BDI,65.11327029411764,20.492424,29.01190049000001,14.084507,2.5145609,.4333151,1.6602852,-1.1593856,5.7675467,8,BDI
MOZ,61.35583495454546,23.527662,24.56767287999999,27.64423,2.3287487,.89166421,1.2428602,-.67443264,5.1377058,9,MOZ
MLI,25.5818139,27.708324,37.61244316,31.619837,.5596562,1.522983,2.4680932,-.5322482,5.0829806,10,MLI
LBR,30.576751125,23.378529,35.49669990999998,20.347984,.80666524,.86914366,2.2693715,-.93537718,4.8805575,11,LBR
MWI,69.98540271428571,22.349232,21.62943584000002,39.523811,2.7554972,.71371025,.96688557,-.24956872,4.6856618,12,MWI
BEN,35.34031629166667,25.459919,28.06477390999999,29.761904,1.0422325,1.1834528,1.5713261,-.5986957,4.3957071,13,BEN
TZA,46.07216491489363,22.83465,27.86859954000002,33.694366,1.5729426,.78701293,1.5529004,-.45805424,4.3709102,14,TZA
TGO,45.32181525000001,25.485468,20.44048838,25.476191,1.5358363,1.1873111,.8552134,-.75197089,4.3303318,15,TGO
SDN,18.28858509090909,28.921261,21.99347316,8.8601561,.19899231,1.7061477,1.0010779,-1.3462304,4.2524481,16,
COM,20.28378133333333,22.000263,33.72015306,17.370892,.29765853,.66101277,2.102509,-1.0418506,4.1030307,17,
NGA,32.85182225,25.879055,21.20377371999999,18.571428,.91917175,1.2467463,.92690516,-.9989143,4.0917377,18,
BFA,35.56112338461539,27.473644,20.99747328,34.207878,1.0531518,1.4875441,.90752834,-.43968892,3.8879132,19,
COG,55.72646258333334,23.790867,6.909114704000003,10.328638,2.0503657,.93141055,-.41572398,-1.2937112,3.8597634,20,
ETH,24.13238095454545,23.698189,31.11192916,30.415257,.48797899,.91741532,1.857531,-.57532907,3.8382545,21,
GIN,21.0951153125,24.165087,22.32593094999999,7.105969,.33778051,.98792124,1.032304,-1.4089675,3.7669733,22,
HTI,37.2496328,19.374123,18.64785769,7.0422535,1.1366518,.26444119,.68684018,-1.4112462,3.4991794,23,
UGA,43.419756375,22.820549,23.25029354,43.095238,1.441776,.78488356,1.119125,-.12183944,3.4676239,24,
MRT,9.52430569230769,26.767681,23.33066331999999,14.903847,-.23441778,1.3809371,1.1266737,-1.1300825,3.4032755,25,
RWA,53.67898901666667,20.642706,24.61496878000002,53.920189,1.9491143,.45600906,1.2473024,.26530647,3.3871193,26,
CMR,27.6909403,24.043152,16.4988007,14.637007,.66395646,.96950793,.48498946,-1.1396258,3.2580795,27,
ZWE,36.97785085000001,22.54928,10.52095504,7.1428571,1.1232116,.74391943,-.076481052,-1.4076482,3.1982982,28,
CIV,25.74910403571429,24.682648,20.54857035999999,29.761906,.56792903,1.0660777,.86536503,-.59869564,3.0980673,29,
ZMB,69.6571732631579,23.152552,3.341123992,41.847511,2.7392657,.83501905,-.75084835,-.1664634,2.9898999,30,
GMB,23.02812833333333,26.142355,19.87159617999999,33.437901,.43337163,1.286507,.80178005,-.46722656,2.9888852,31,
PNG,39.0030326,18.76564,16.97383549,18.957346,1.2233607,.17255473,.52960724,-.98511225,2.910635,32,
KEN,33.18101151063831,22.757414,20.31491042000002,36.666668,.93545079,.77534956,.84341848,-.35175222,2.9059711,33,
PAK,14.34854390625,22.810734,22.85564471999999,22.632982,.0041498682,.78340137,1.0820575,-.85365599,2.7232647,34,
SEN,33.26034632142857,26.264318,14.98751956000001,43.044937,.93937403,1.3049247,.34304205,-.12363841,2.7109792,35,
DJI,40.12697458333334,27.073748,1.46380442,21.720322,1.2789418,1.427156,-.927176,-.88629657,2.6652184,36,
AGO,26.24494213888889,23.275669,8.607741761999996,11.939102,.59244913,.85361093,-.25618005,-1.2361143,2.4259944,37,
GHA,33.12263415,25.321444,18.13655055,55.315224,.93256396,1.1625419,.63881552,.31519878,2.4187226,38,
MMR,3.69100996,22.150326,23.0027856,14.857142,-.5228852,.68367362,1.0958778,-1.1317528,2.3884192,39,
TLS,15.5741528,19.508135,17.44198189,10.792004,.064758532,.28467828,.573578,-1.2771393,2.2001541,40,
SWZ,44.16501025,21.562101,8.521013558,38.478897,1.4786302,.59484631,-.26432601,-.28693926,2.0960898,41,
YEM,19.54512395454545,23.576029,5.000962579000002,7.6923075,.26113051,.89896798,-.59494764,-1.3879975,1.9531484,42,
BGD,18.23431692857143,22.921618,13.07431266,26.842699,.19630866,.8001458,.16334365,-.70309877,1.8628969,43,
LAO,9.508682046511629,20.378847,15.70918682000001,21.223776,-.23519041,.41616392,.41082481,-.90405518,1.4958535,44,
NPL,9.8926306,14.798944,22.33467205,17.535545,-.21620342,-.42645326,1.033125,-1.0359619,1.4264302,45,
IRQ,.0985722222222222,24.991068,2.815817643000001,1.8914123,-.70053804,1.1126521,-.80018783,-1.595462,1.2073882,46,
STP,9.8443585,21.740276,11.11538307,24.761906,-.21859057,.62175238,-.020649262,-.77751672,1.1600293,47,
HND,13.6833248,17.543789,11.61016046,14.380952,-.028746467,-.01195616,.025822818,-1.1487834,1.1339036,48,
VUT,14.24849008333333,21.183132,21.21939844,60.329498,-.00079798157,.5376184,.92837268,.49453041,.97066271,49,
EGY,1.744147757142857,23.849007,11.22500022999999,35.132923,-.61916125,.9401902,-.010353445,-.40660539,.71728092,50,
IDN,7.88187691351981,21.176611,12.8084975600001,39.253117,-.31563899,.53663367,.13837691,-.2592499,.61862147,51,
NAM,22.90988542307693,24.414768,7.768297708999997,61.522228,.4275243,1.0256255,-.33502501,.53718746,.58093727,52,
PHL,4.872056147826085,21.661491,9.65014035800003,30.625025,-.46448028,.60985512,-.15827252,-.56782687,.5549292,53,
VNM,2.625451027777779,21.049509,14.68197863,44.481186,-.57557911,.51744008,.31434405,-.072272092,.32847711,54,
TON,1.104749,20.156511,17.0682174,48.095238,-.65078068,.38258916,.53847206,.056981642,.2132989,55,
TJK,4.89731,8.0149488,19.77196478,10.218912,-.46323141,-1.4508994,.79242218,-1.2976356,.17592695,56,
IRN,.8089866078431373,18.529163,9.936335430000023,23.741051,-.6654067,.13684452,-.13139158,-.81402677,.154073,57,
LSO,35.7763094,15.037112,4.321563060000001,43.333332,1.0637932,-.39048758,-.65876037,-.11332419,.12786943,58,
BOL,5.053201509615385,12.381633,11.48192415999999,9.89011,-.4555223,-.7914896,.013778194,-1.3093948,.076161131,59,
SLV,4.614315116883116,19.429035,5.132768530000012,25.707832,-.47722605,.27273351,-.58256769,-.74368638,-.043373853,60,
PSE,.3966065,21.885559,7.359645135,40.412476,-.68579966,.64369142,-.37340781,-.21778633,-.19772972,61,
MDV,0,23.219603,5.235853286999999,40.512821,-.70541263,.84514433,-.57288545,-.21419755,-.2189562,62,
ALB,.1918843928571429,14.815959,18.42947924999999,39.986588,-.69592357,-.42388377,.66632891,-.23301789,-.22046053,63,
MAR,1.5270505,19.325779,12.21673615,44.600941,-.62989712,.25714087,.082795583,-.067989156,-.22197151,64,
PRY,1.26262190625,17.642277,10.25270136,32.261906,-.6429736,.0029164189,-.10167684,-.50928509,-.23244894,65,
FJI,1.29449475,20.171082,10.90656484,46.227364,-.64139742,.38478941,-.040262561,-.009821414,-.28704914,66,
LKA,2.235608225490195,23.263912,8.023787716000008,54.355019,-.59485757,.85183549,-.31102806,.2808578,-.33490795,67,
THA,.0495725714285714,23.407785,8.183701765000022,54.666668,-.70296115,.87356168,-.29600811,.29200369,-.41741127,68,
BWA,13.47504228571428,24.920416,2.055350722,68.095238,-.039046429,1.101983,-.87161487,.77226597,-.5809443,69,
